Player_ID,PLAYER_NAME,LAST_FIVE_GAMES,LAST_FIVE_AVG_PPG,LAST_FIVE_AVG_RPG,LAST_FIVE_AVG_APG,LAST_FIVE_AVG_MPG,LAST_TEN_GAMES,LAST_TEN_AVG_PPG,LAST_TEN_AVG_RPG,LAST_TEN_AVG_APG,LAST_TEN_AVG_MPG
203500,Steven Adams,5,4.6,8.6,1.4,25.4,10,5.9,8.7,1.6,25.8
1628386,Jarrett Allen,5,16.2,8.8,0.6,23.0,10,18.0,8.3,1.0,26.0
1628389,Bam Adebayo,5,18.0,10.0,5.8,33.0,10,18.8,11.4,5.0,34.2
1628960,Grayson Allen,5,9.0,3.4,1.4,22.4,10,12.5,3.1,2.4,23.3
1629638,Nickeil Alexander-Walker,5,26.4,3.0,2.0,35.4,10,24.3,3.4,3.8,35.2
1630173,Precious Achiuwa,5,13.0,7.0,2.8,27.8,10,15.3,9.2,2.0,29.3
1630534,Ochai Agbaji,5,6.8,2.2,0.6,15.8,10,8.1,2.5,0.7,17.9
1630583,Santi Aldama,5,14.2,6.2,1.8,27.8,10,13.0,6.7,2.8,27.5
1630631,Jose Alvarado,5,11.4,3.2,3.8,21.6,10,7.5,2.3,3.4,16.8
1641725,Trey Alexander,5,6.6,1.4,0.8,14.2,9,5.2,1.2,1.0,12.3
