TEAM_ABBREVIATION,GAMES,BACK_TO_BACKS,AVERAGE_REST,MIN_REST,MAX_REST
ATL,82,13,1.12,0.0,7.0
BKN,82,14,1.12,0.0,7.0
BOS,82,13,1.12,0.0,7.0
CHA,82,16,1.12,0.0,7.0
CHI,82,14,1.12,0.0,7.0
CLE,82,14,1.12,0.0,7.0
DAL,82,15,1.12,0.0,7.0
DEN,82,17,1.11,0.0,7.0
DET,82,14,1.12,0.0,7.0
GSW,82,16,1.14,0.0,7.0
HOU,82,14,1.14,0.0,7.0
IND,82,13,1.11,0.0,7.0
LAC,82,15,1.12,0.0,7.0
LAL,82,14,1.14,0.0,7.0
MEM,82,14,1.12,0.0,8.0
MIA,82,17,1.12,0.0,8.0
MIL,82,15,1.12,0.0,7.0
MIN,82,14,1.12,0.0,8.0
NOP,82,15,1.12,0.0,8.0
NYK,82,14,1.12,0.0,7.0
OKC,82,14,1.14,0.0,7.0
ORL,82,14,1.12,0.0,7.0
PHI,82,16,1.12,0.0,7.0
PHX,82,16,1.12,0.0,7.0
POR,82,15,1.12,0.0,7.0
SAC,82,14,1.12,0.0,7.0
SAS,82,15,1.12,0.0,7.0
TOR,82,15,1.12,0.0,7.0
UTA,82,15,1.12,0.0,7.0
WAS,82,16,1.12,0.0,7.0
