WEEK_START,TEAM_ABBREVIATION,GAMES_THIS_WEEK,BACK_TO_BACKS,AVERAGE_REST,MIN_REST,MAX_REST
2025-10-20,ATL,3,1,0.5,0.0,1.0
2025-10-20,BKN,3,0,1.0,1.0,1.0
2025-10-20,BOS,3,0,1.0,1.0,1.0
2025-10-20,CHA,3,1,1.0,0.0,2.0
2025-10-20,CHI,2,0,2.0,2.0,2.0
2025-10-20,CLE,3,0,1.0,1.0,1.0
2025-10-20,DAL,3,0,1.0,1.0,1.0
2025-10-20,DEN,2,0,1.0,1.0,1.0
2025-10-20,DET,3,0,1.0,1.0,1.0
2025-10-20,GSW,3,1,0.5,0.0,1.0
2025-10-20,HOU,2,0,2.0,2.0,2.0
2025-10-20,IND,3,1,0.5,0.0,1.0
2025-10-20,LAC,3,0,1.0,1.0,1.0
2025-10-20,LAL,3,0,1.5,1.0,2.0
2025-10-20,MEM,3,1,0.5,0.0,1.0
2025-10-20,MIA,3,0,1.0,1.0,1.0
2025-10-20,MIL,3,0,1.0,1.0,1.0
2025-10-20,MIN,3,0,1.0,1.0,1.0
2025-10-20,NOP,2,0,1.0,1.0,1.0
2025-10-20,NYK,3,0,1.0,1.0,1.0
2025-10-20,OKC,3,0,1.0,1.0,1.0
2025-10-20,ORL,3,1,0.5,0.0,1.0
2025-10-20,PHI,2,0,2.0,2.0,2.0
2025-10-20,PHX,3,1,0.5,0.0,1.0
2025-10-20,POR,3,0,1.0,1.0,1.0
2025-10-20,SAC,3,0,1.0,1.0,1.0
2025-10-20,SAS,3,0,1.0,1.0,1.0
2025-10-20,TOR,3,0,1.0,1.0,1.0
2025-10-20,UTA,2,0,1.0,1.0,1.0
2025-10-20,WAS,3,0,1.0,1.0,1.0
2025-10-27,ATL,4,0,1.0,1.0,1.0
2025-10-27,BKN,3,1,1.33,0.0,3.0
2025-10-27,BOS,4,2,0.5,0.0,1.0
2025-10-27,CHA,4,1,0.75,0.0,1.0
2025-10-27,CHI,4,0,1.0,1.0,1.0
2025-10-27,CLE,4,1,0.75,0.0,1.0
2025-10-27,DAL,3,1,1.0,0.0,2.0
2025-10-27,DEN,3,0,1.0,1.0,1.0
2025-10-27,DET,3,1,1.0,0.0,2.0
2025-10-27,GSW,4,1,1.0,0.0,2.0
2025-10-27,HOU,3,0,1.67,1.0,2.0
2025-10-27,IND,3,1,1.0,0.0,2.0
2025-10-27,LAC,2,0,1.5,1.0,2.0
2025-10-27,LAL,4,1,0.75,0.0,1.0
2025-10-27,MEM,4,0,1.0,1.0,1.0
2025-10-27,MIA,3,0,1.33,1.0,2.0
2025-10-27,MIL,3,0,1.0,1.0,1.0
2025-10-27,MIN,3,1,1.0,0.0,2.0
2025-10-27,NOP,4,0,1.25,1.0,2.0
2025-10-27,NYK,3,0,1.33,1.0,2.0
2025-10-27,OKC,4,1,1.0,0.0,2.0
2025-10-27,ORL,4,1,0.75,0.0,1.0
2025-10-27,PHI,4,1,1.0,0.0,2.0
2025-10-27,PHX,4,0,1.0,1.0,1.0
2025-10-27,POR,3,1,0.67,0.0,1.0
2025-10-27,SAC,3,1,1.0,0.0,2.0
2025-10-27,SAS,3,1,1.33,0.0,2.0
2025-10-27,TOR,4,1,0.75,0.0,1.0
2025-10-27,UTA,4,0,1.25,1.0,2.0
2025-10-27,WAS,3,0,1.0,1.0,1.0
2025-11-03,ATL,3,1,1.0,0.0,2.0
2025-11-03,BKN,4,1,0.75,0.0,1.0
2025-11-03,BOS,4,0,1.0,1.0,1.0
2025-11-03,CHA,2,0,1.5,1.0,2.0
2025-11-03,CHI,3,1,1.0,0.0,2.0
2025-11-03,CLE,3,1,1.0,0.0,2.0
2025-11-03,DAL,4,1,0.75,0.0,1.0
2025-11-03,DEN,4,1,1.0,0.0,2.0
2025-11-03,DET,4,0,1.0,1.0,1.0
2025-11-03,GSW,4,1,1.0,0.0,2.0
2025-11-03,HOU,4,0,1.0,1.0,1.0
2025-11-03,IND,4,1,1.0,0.0,2.0
2025-11-03,LAC,4,1,1.0,0.0,2.0
2025-11-03,LAL,3,1,1.0,0.0,2.0
2025-11-03,MEM,4,1,0.75,0.0,1.0
