SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,PLAYER_NAME
22025,1630173,0022501200,"Apr 12, 2026",SAC @ POR,L,35,10,21,0.476,0,3,0.0,7,11,0.636,4,7,11,4,0,1,2,1,27,-1,1,Precious Achiuwa
22025,1630173,0022501184,"Apr 10, 2026",SAC vs. GSW,W,25,2,9,0.222,0,4,0.0,1,2,0.5,1,5,6,4,2,1,1,1,5,-12,1,Precious Achiuwa
22025,1630173,0022501154,"Apr 07, 2026",SAC @ GSW,L,34,6,14,0.429,0,2,0.0,1,2,0.5,2,4,6,4,0,1,2,0,13,3,1,Precious Achiuwa
22025,1630173,0022501141,"Apr 05, 2026",SAC vs. LAC,L,20,3,6,0.5,0,0,0.0,2,6,0.333,3,2,5,0,0,0,1,3,8,-22,1,Precious Achiuwa
22025,1630173,0022501128,"Apr 03, 2026",SAC vs. NOP,W,25,6,10,0.6,0,2,0.0,0,1,0.0,3,4,7,2,2,0,3,2,12,7,1,Precious Achiuwa
22025,1630173,0022501108,"Apr 01, 2026",SAC @ TOR,W,38,12,19,0.632,1,2,0.5,3,4,0.75,11,8,19,1,0,1,2,4,28,22,1,Precious Achiuwa
22025,1630173,0022501084,"Mar 29, 2026",SAC @ BKN,L,34,7,14,0.5,0,1,0.0,2,7,0.286,4,4,8,1,1,0,3,2,16,-20,1,Precious Achiuwa
22025,1630173,0022501078,"Mar 28, 2026",SAC @ ATL,L,20,8,11,0.727,0,1,0.0,0,0,0.0,5,1,6,2,2,0,1,1,16,-1,1,Precious Achiuwa
22025,1630173,0022501065,"Mar 26, 2026",SAC @ ORL,L,34,7,12,0.583,0,1,0.0,0,0,0.0,4,5,9,2,2,2,2,1,14,2,1,Precious Achiuwa
22025,1630173,0022501033,"Mar 22, 2026",SAC vs. BKN,W,28,6,13,0.462,0,0,0.0,2,4,0.5,6,9,15,0,1,0,2,1,14,-4,1,Precious Achiuwa
22025,1630173,0022501015,"Mar 19, 2026",SAC vs. PHI,L,34,3,5,0.6,0,1,0.0,6,10,0.6,0,7,7,0,0,1,1,0,12,-7,1,Precious Achiuwa
22025,1630173,0022500998,"Mar 17, 2026",SAC vs. SAS,L,30,4,12,0.333,1,4,0.25,1,1,1.0,2,5,7,2,0,1,0,2,10,-19,1,Precious Achiuwa
